MDB,Sovereign / Non-sovereign ,Project name,Project ID,Approval date,Approval year,Country,World Bank Income Level,Investment instrument,Sector (general),Total commitment ($ million),Mitigation sector,Adaptation sector,"Type (mitigation, adaptation or dual-use)",Climate finance ($ million),Mitigation ($ million),Adaptation ($ million),Dual-use ($ million),Climate finance percentage,Source
Asian Development Bank,Sovereign,Davao Public Transport Modernization Project,45296-006,01/07/2023,2023,Philippines,Lower middle income,Loan cofinancing,Transport,,,,Dual-use,50,50,,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Davao Public Transport Modernization Project,45296-006,01/07/2023,2023,Philippines,Lower middle income,Loan cofinancing,Transport,,,,Dual-use,10,10,,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Davao Public Transport Modernization Project,45296-006,20/10/2023,2023,Philippines,Lower middle income,Technical assistance,Transport,,,,Mitigation,0.5,0.5,,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Davao Public Transport Modernization Project,45296-006,20/10/2023,2023,Philippines,Lower middle income,Technical assistance cofinancing,Transport,,,,Mitigation,0.5,0.5,,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,"South Asia Subregional Economic Cooperation Chittagong–Cox's Bazar Railway Project, Phase 1 (Tranche 3)",46452-005,25/06/2023,2023,Bangladesh,Lower middle income,Loan,Transport,402.95,,,Dual-use,400,365.87,34.13,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,"South Asia Subregional Economic Cooperation Chittagong–Cox's Bazar Railway Project, Phase 1 (Tranche 3)",46452-005,30/11/2023,2023,Bangladesh,Lower middle income,Technical assistance,Transport,,,,Dual-use,0,,,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,26/03/2021,2021,Regional (South Asia),Regional,Technical assistance,"Agriculture, natural resources and rural development",0.7581,,,Dual-use,0.033800217,0.02877339,0.005026827,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,26/03/2021,2021,Regional (South Asia),Regional,Technical assistance,Education,,,,Dual-use,0.01120996,0.00091895,0.01029101,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,26/03/2021,2021,Regional (South Asia),Regional,Technical assistance,Energy,,,,Dual-use,0.016728394,0.00263112,0.014097274,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,26/03/2021,2021,Regional (South Asia),Regional,Technical assistance,Finance,,,,Dual-use,0.027696016,0.01938721,0.008308806,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,26/03/2021,2021,Regional (South Asia),Regional,Technical assistance,Health,,,,Dual-use,0.000787955,0.00068548,0.000102475,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,26/03/2021,2021,Regional (South Asia),Regional,Technical assistance,Industry and trade,,,,Dual-use,0.0055392,0.0055392,0,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,26/03/2021,2021,Regional (South Asia),Regional,Technical assistance,Transport,,,,Dual-use,0.288734876,0.06064985,0.228085026,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,26/03/2021,2021,Regional (South Asia),Regional,Technical assistance,Water and other urban infrastructure and services,,,,Dual-use,0.03960337,0.03786406,0.00173931,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,10/12/2021,2021,Regional (South Asia),Regional,Technical assistance,"Agriculture, natural resources and rural development",,,,Dual-use,0.0225043,0.0225043,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,10/12/2021,2021,Regional (South Asia),Regional,Technical assistance,Education,,,,Dual-use,0.001894,0.001894,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,10/12/2021,2021,Regional (South Asia),Regional,Technical assistance,Energy,,,,Dual-use,0.0400635,,0.0400635,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,10/12/2021,2021,Regional (South Asia),Regional,Technical assistance,Finance,,,,Dual-use,0.014812,0.014812,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,10/12/2021,2021,Regional (South Asia),Regional,Technical assistance,Health,,,,Dual-use,0.00045,0.00045,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,10/12/2021,2021,Regional (South Asia),Regional,Technical assistance,Industry and trade,,,,Dual-use,0.002116,,0.002116,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,10/12/2021,2021,Regional (South Asia),Regional,Technical assistance,Transport,,,,Dual-use,0.1629944,,0.1629944,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,10/12/2021,2021,Regional (South Asia),Regional,Technical assistance,Water and other urban infrastructure and services,,,,Dual-use,0.0891655,0.0891655,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,03/10/2022,2022,Regional (South Asia),Regional,Technical assistance,Energy,,,,Dual-use,0.045575,0.033658,0.011917,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,03/10/2022,2022,Regional (South Asia),Regional,Technical assistance,"Agriculture, natural resources and rural development",,,,Dual-use,0.054689,0.00372,0.050969,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,03/10/2022,2022,Regional (South Asia),Regional,Technical assistance,Education,,,,Dual-use,0.009115,0.002548,0.006567,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,03/10/2022,2022,Regional (South Asia),Regional,Technical assistance,Finance,,,,Dual-use,0.00914,0.00329,0.00585,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,03/10/2022,2022,Regional (South Asia),Regional,Technical assistance,Health,,,,Dual-use,0.009116,0.004558,0.004558,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,03/10/2022,2022,Regional (South Asia),Regional,Technical assistance,Industry and trade,,,,Dual-use,0.009115,0.00884,0.000275,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,03/10/2022,2022,Regional (South Asia),Regional,Technical assistance,Public sector management,,,,Dual-use,0.009115,0.004663,0.004452,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,03/10/2022,2022,Regional (South Asia),Regional,Technical assistance,Transport,,,,Dual-use,0.03646,0.021771,0.014689,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia,46470-003,03/10/2022,2022,Regional (South Asia),Regional,Technical assistance,Water and other urban infrastructure and services,,,,Dual-use,0.045575,0.007159,0.038416,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Supporting Education and Health Sector Programs Facility,47136-005,21/06/2023,2023,Regional,Regional,Technical assistance cofinancing,Education,0.75,,,Adaptation,0.066,,0.066,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Rural Connectivity Improvement Project-Second Additional Financing,47243-006,14/08/2023,2023,Bangladesh,Lower middle income,Loan,"Agriculture, natural resources and rural development",267.1,,,Adaptation,39.3,,39.3,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Power Sector Development Project,47356-002,23/09/2022,2022,Papua New Guinea,Lower middle income,Loan,Energy,305,,,Dual-use,7.5,6.8,0.7,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Power Sector Development Project,47356-002,23/09/2022,2022,Papua New Guinea,Lower middle income,Loan,Energy,,,,Dual-use,68.7,62.7,6,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Central Asia Regional Economic Cooperation Corridor 2 (Pap-Namangan-Andijan) Railway Electrification Project – Additional Financing,48025-004,06/08/2021,2021,Uzbekistan,Lower middle income,Loan,Transport,164,,,Dual-use,121,1.1,119.9,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Second Power Transmission Enhancement Investment Program (Tranche 4),48078-006,15/12/2022,2022,Pakistan,Lower middle income,Loan,Energy,296,,,Dual-use,189,87.5,101.5,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Greater Mekong Subregion Health Security Project (Additional Financing),48118-005,08/12/2021,2021,Cambodia,Lower middle income,Loan,Health,35,,,Mitigation,4.58,,4.58,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Greater Mekong Subregion Health Security Project (Additional Financing),48118-005,08/12/2021,2021,Cambodia,Lower middle income,Grant,Health,,,,Mitigation,0,,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Regional Road Development and Maintenance Project (Phase 3),48186-008,05/10/2023,2023,Mongolia,Lower middle income,Loan,Transport,158,,,Dual-use,30.8,0.24,30.56,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Regional Road Development and Maintenance Project (Phase 3),48186-008,05/10/2023,2023,Mongolia,Lower middle income,Loan,Transport,,,,Dual-use,7.7,0.06,7.64,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Nuts and Fruits in Hilly Areas Project,48218-006,07/11/2022,2022,Nepal,Lower middle income,Loan,"Agriculture, natural resources and rural development",96.45,,,Dual-use,53.93,21.01,32.92,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Nuts and Fruits in Hilly Areas Project,48218-006,07/11/2022,2022,Nepal,Lower middle income,Grant,"Agriculture, natural resources and rural development",,,,Dual-use,2.17,,2.17,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Nuts and Fruits in Hilly Areas Project,48218-006,07/11/2022,2022,Nepal,Lower middle income,Grant,"Agriculture, natural resources and rural development",,,,Dual-use,5.67,0.48,5.19,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Rural Connectivity Improvement Project - Additional Financing,48218-011,09/08/2023,2023,Nepal,Lower middle income,Technical assistance,"Agriculture, natural resources and rural development",,,,Dual-use,0,,,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Rural Connectivity Improvement Project - Additional Financing,48218-011,31/10/2023,2023,Nepal,Lower middle income,Loan,"Agriculture, natural resources and rural development",121,,,Dual-use,20.4,,20.4,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Implementation Support for the Nuts and Fruits in Hilly Areas Project,48218-012,30/06/2021,2021,Nepal,Lower middle income,Technical assistance,"Agriculture, natural resources and rural development",1,,,Adaptation,0.7,0.7,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Central Asia Regional Economic Cooperation Corridor Development Investment Program (Tranche 2),48404-004,22/12/2021,2021,Pakistan,Lower middle income,Loan,Transport,270.83,,,Adaptation,25.41902044,25.41902044,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Central Asia Regional Economic Cooperation Corridor Development Investment Program (Tranche 3),48404-005,15/12/2023,2023,Pakistan,Lower middle income,Loan,Transport,471.9,,,Dual-use,130.79,1.45,129.34,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Visakhapatnam-Chennai Industrial Corridor Development Program (Tranche 2),48434-004,23/05/2023,2023,India,Lower middle income,Loan,Water and other urban infrastructure and services,214.8,,,Dual-use,9.58,0.06,9.52,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Visakhapatnam-Chennai Industrial Corridor Development Program (Tranche 2),48434-004,23/05/2023,2023,India,Lower middle income,Loan,Transport,,,,Dual-use,15.26,0.07,15.19,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Visakhapatnam-Chennai Industrial Corridor Development Program (Tranche 2),48434-004,23/05/2023,2023,India,Lower middle income,Loan,Industry and trade,,,,Dual-use,19.62,0.16,19.46,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,"Sustainable Highlands Highway Investment Program, Tranche 2",48444-005,14/10/2021,2021,Papua New Guinea,Lower middle income,Loan,Transport,395,,,Adaptation,57.04,57.04,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,"Sustainable Highlands Highway Investment Program, Tranche 2",48444-005,14/10/2021,2021,Papua New Guinea,Lower middle income,Loan,Transport,,,,Adaptation,8.01,8.01,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Sustainable and Climate-Resilient Connectivity Project - Additional Financing,48480-004,10/05/2022,2022,Nauru,High income,Grant,Transport,15.2,,,Dual-use,15,2.55,12.45,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Outer Island Maritime Infrastructure Project (Second Additional Financing),48484-005,13/01/2021,2021,Tuvalu,Upper middle income,Grant,Transport,22.2,,,Adaptation,3.1,3.1,0,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Outer Island Maritime Infrastructure Project (Third Additional Financing),48484-006,14/12/2023,2023,Tuvalu,Upper middle income,Grant,Transport,32,,,Adaptation,2.325,,2.325,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Outer Island Maritime Infrastructure Project (Third Additional Financing),48484-006,14/12/2023,2023,Tuvalu,Upper middle income,Grant cofinancing,Transport,,,,Adaptation,2.325,,2.325,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Climate Resilient Inclusive Infrastructure for Ethnic Minorities Project I,49026-004,31/12/2021,2021,Viet Nam,Lower middle income,Loan,Transport,81.73,,,Adaptation,2,2,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Climate Resilient Inclusive Infrastructure for Ethnic Minorities Project I,49026-004,31/12/2021,2021,Viet Nam,Lower middle income,Loan,"Agriculture, natural resources and rural development",,,,Adaptation,7,7,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Climate Resilient Inclusive Infrastructure for Ethnic Minorities Project I,49026-004,31/12/2021,2021,Viet Nam,Lower middle income,Loan,Transport,,,,Adaptation,0,,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Climate Resilient Inclusive Infrastructure for Ethnic Minorities Project I,49026-004,31/12/2021,2021,Viet Nam,Lower middle income,Grant,"Agriculture, natural resources and rural development",,,,Adaptation,2,2,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,"Strengthening Public Financial Management Program, Subprogram 2",49041-004,19/12/2023,2023,Cambodia,Lower middle income,Loan,Public sector management,50,,,Dual-use,7.68,6.45,1.23,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Sustainable and Inclusive Energy Program (Subprogram 3),49043-003,28/12/2022,2022,Indonesia,Upper middle income,Loan,Energy,867,,,Dual-use,322.19,314.38,7.81,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Sustainable and Inclusive Energy Program (Subprogram 3),49043-003,28/12/2022,2022,Indonesia,Upper middle income,Loan,Energy,,,,Dual-use,9.66,9.43,0.23,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Balakot Hydropower Development Project,49055-007,21/05/2021,2021,Pakistan,Lower middle income,Loan,Energy,755,,,Dual-use,300,2.79,297.21,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Balakot Hydropower Development Project,49055-007,21/05/2021,2021,Pakistan,Lower middle income,Loan,Energy,,,,Dual-use,250,2.33,247.67,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Seismic Safety Improvement Program – Additional Financing,49078-004,27/11/2023,2023,Armenia,Upper middle income,Loan,Water and other urban infrastructure and services,85.7,,,Dual-use,8.99,4.86,4.13,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Integrated Urban Flood Management for the Chennai-Kosasthalaiyar Basin Project,49107-009,26/10/2021,2021,India,Lower middle income,Loan,Water and other urban infrastructure and services,470.5,,,Adaptation,87,87,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Tamil Nadu Urban Flagship Investment Program Tranche 3,49107-010,27/12/2022,2022,India,Lower middle income,Loan,Water and other urban infrastructure and services,193.5,,,Dual-use,64.07,31.32,32.75,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Integrated Urban Flood Management for the Chennai-Kosasthalaiyar Basin Project - Additional Financing,49107-012,16/08/2022,2022,India,Lower middle income,Grant,Water and other urban infrastructure and services,9.49,,,Adaptation,6.88,,6.88,,,Climate Change Financing at ADB - 2022
